Month,Centername,Ber,Kinnow,Lime,Mandarin,Mosambi,Grape_t_seedless,Guava,Litchi,Bennet,Gulabkhas,Kesar,Mango_alphanso,Mango_chausa,Mango_dushehri,Mango_langra,Mango_safeda,Mango_totapari,Parkleman,Aonla,Apple_del_jk,Apple_royal_del_hp,Papaya,Pineapple,Pomegranate,Sapota,Banana
August,Nasik,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,0,0,9000,0,1000
August,Patna,0,0,4600,0,2350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000,2550,0,7750,0,1900
August,Pune,0,0,4500,0,0,0,0,0,0,0,0,0,0,0,0,0,475,0,0,8250,0,1850,2500,6500,0,2500
August,Ranchi,0,0,2200,0,3300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9000,0,2800,2400,8200,4800,2300
August,Shimla,0,0,3750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5800,3225,0,4900,0,3300
August,Varanasi,0,0,2500,0,2800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000,2000,2500,4300,0,1900
September,Chandigarh,0,0,3400,0,3300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4700,1900,2260,5800,0,1900
September,Chennai,0,0,5800,0,3300,0,0,0,0,0,0,0,0,0,0,0,0,0,6300,0,15000,1700,3300,9500,5800,2500
September,Dehradun,0,0,3000,0,3000,0,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,3500,1600,0,4500,0,1400
September,Hyderabad,0,0,1300,0,1300,0,1650,0,0,0,0,0,0,0,0,0,0,0,0,0,4050,1300,2000,5000,2000,2000
September,Jammu,0,0,5500,0,3800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5500,0,3500,4500,10000,0,2800
September,Kolkata,0,0,3750,0,2750,0,3100,0,0,0,0,0,0,0,0,0,0,0,0,0,7000,3100,1950,10000,0,1500
September,Lucknow,0,0,2700,0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4900,2100,1800,5150,0,2100
September,Mumbai,0,0,2800,5000,3500,0,3250,0,0,0,0,0,0,0,0,0,0,0,3800,7000,0,2500,3000,8000,3300,2400
September,Nagpur,0,0,1750,0,2100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11000,0,0,4000,7000,2500,800
September,Nasik,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13000,0,0,9000,0,1000
September,Patna,0,0,5100,0,2700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8200,7100,2500,0,10250,0,2100
September,Pune,0,0,4500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000,0,1600,2050,5500,0,2750
September,Ranchi,0,0,2100,0,2900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8300,0,2300,3000,7800,0,2300
September,Shimla,0,0,3400,0,4300,0,3700,0,0,0,0,0,0,0,0,0,0,0,0,0,2750,3400,0,2950,0,2300
September,Srinagar,0,0,5500,7500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6700,0,4200,4700,10200,0,4800
September,Trivendrum,0,0,8000,5000,3600,0,2500,0,0,0,0,0,0,0,0,0,0,0,5000,0,9000,1800,3700,11500,4000,4000
September,Varanasi,0,0,3300,0,2350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5600,2100,2300,5000,0,1800
October,Chandigarh,0,0,3400,0,3300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4700,1900,2260,5800,0,1900
October,Chennai,0,0,5800,0,3300,0,0,0,0,0,0,0,0,0,0,0,0,0,6300,0,15000,1700,3300,9500,5800,2500
October,Dehradun,0,0,3000,0,3000,0,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,3500,1600,0,4500,0,1400
October,Hyderabad,0,0,1300,0,1300,0,1650,0,0,0,0,0,0,0,0,0,0,0,0,0,4050,1300,2000,5000,2000,2000
October,Jammu,0,0,5500,0,3800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5500,0,3500,4500,10000,0,2800
October,Kolkata,0,0,3750,0,2750,0,3100,0,0,0,0,0,0,0,0,0,0,0,0,0,7000,3100,1950,10000,0,1500
October,Lucknow,0,0,2700,0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4900,2100,1800,5150,0,2100
October,Mumbai,0,0,2800,5000,3500,0,3250,0,0,0,0,0,0,0,0,0,0,0,3800,7000,0,2500,3000,8000,3300,2400
October,Nagpur,0,0,1750,0,2100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11000,0,0,4000,7000,2500,800
October,Nasik,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13000,0,0,9000,0,1000
October,Patna,0,0,5100,0,2700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8200,7100,2500,0,10250,0,2100
October,Pune,0,0,4500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000,0,1600,2050,5500,0,2750
October,Ranchi,0,0,2100,0,2900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8300,0,2300,3000,7800,0,2300
October,Shimla,0,0,3400,0,4300,0,3700,0,0,0,0,0,0,0,0,0,0,0,0,0,2750,3400,0,2950,0,2300
October,Srinagar,0,0,5500,7500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6700,0,4200,4700,10200,0,4800
October,Trivendrum,0,0,8000,5000,3600,0,2500,0,0,0,0,0,0,0,0,0,0,0,5000,0,9000,1800,3700,11500,4000,4000
October,Varanasi,0,0,3300,0,2350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5600,2100,2300,5000,0,1800
November,Bangaluru,0,0,2250,3250,3500,0,3500,0,0,0,0,0,0,0,0,0,0,0,4500,9000,0,1800,3000,15000,3500,900
November,Chandigarh,0,0,3200,3400,2900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6200,4700,1500,2400,6700,0,1900
November,Dehradun,0,1500,2000,2400,0,0,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,3500,1500,0,5000,0,1150
November,Hyderabad,1000,0,1800,2000,0,0,2500,0,0,0,0,0,0,0,0,0,0,0,2800,0,7100,2100,2900,0,0,2500
November,Jammu,0,0,2500,5000,4300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7500,0,3600,5500,15000,0,2700
November,Kolkata,0,0,1625,3400,4150,13000,3200,0,0,0,0,0,0,0,0,0,0,0,3150,7250,8375,2800,1875,12500,0,1875
November,Lucknow,0,0,2500,0,2850,0,0,0,0,0,0,0,0,0,0,0,0,0,2250,6200,0,2250,1450,5750,0,910
November,Mumbai,0,0,2000,3550,3350,0,3250,0,0,0,0,0,0,0,0,0,0,0,5500,9900,7000,1650,3600,9850,4250,2900
November,Nagpur,0,0,1750,2000,3500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12000,0,0,4500,10000,2500,700
November,Nasik,0,0,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9000,0,0,9000,0,1050
